time point,time step size,N strains,N haplotypes usable,site 1,site 2,number of polymoprhisms at site 1,number of polymoprhisms at site 2,minor allele freq site 1,minor allele freq site 2,D,|D'|,Chi,ChiSqDf
1980,40,1603,1603,6,123,2,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00250312500244,7.80762633325e-07
1980,40,1603,1603,6,124,2,2,0.000623830318153,0.00187149095446,-1.16749279755e-06,1.00000000001,0.00187617041199,1.17041198502e-06
1980,40,1603,1603,6,130,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,131,2,2,0.000623830318153,0.00124766063631,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,6,140,2,3,0.000623830318153,0.00124766063631,NaN,NaN,0.00564969760196,1.76222632625e-06
1980,40,1603,1603,6,146,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,149,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,157,2,2,0.000623830318153,0.00124766063631,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,6,159,2,2,0.000623830318153,0.00374298190892,-2.3349855951e-06,1.00000000001,0.00375938967962,2.3452212599e-06
1980,40,1603,1603,6,164,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,167,2,2,0.000623830318153,0.00311915159077,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,177,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1602,6,186,2,2,0.000624219725343,0.000624219725343,-3.89650265498e-07,0.999999999974,0.000624999756164,3.90137176132e-07
1980,40,1603,1603,6,188,2,2,0.000623830318153,0.00623830318153,-3.89164265846e-06,0.999999999996,0.00628138242138,3.91851679437e-06
1980,40,1603,1603,6,192,2,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,6,198,2,2,0.000623830318153,0.00311915159077,-1.94582132917e-06,0.999999999968,0.00313086426698,1.95312805176e-06
1980,40,1603,1603,6,200,2,2,0.000623830318153,0.00124766063631,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,6,207,2,2,0.000623830318153,0.008109794136,-5.05913545601e-06,0.999999999998,0.00818120431222,5.10368328897e-06
1980,40,1603,1603,6,208,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,211,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,215,2,2,0.000623830318153,0.00124766063631,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,6,218,2,3,0.000623830318153,0.00124766063631,NaN,NaN,0.00501880486383,1.56544131748e-06
1980,40,1603,1603,6,220,2,2,0.000623830318153,0.00124766063631,-7.78328531736e-07,1.00000000005,0.00124999902527,7.79787289623e-07
1980,40,1603,1603,6,221,2,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00124999902527,3.89893644812e-07
1980,40,1603,1603,6,222,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,226,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,227,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,232,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,233,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,240,2,2,0.000623830318153,0.00187149095446,-1.16749279755e-06,1.00000000001,0.00187617041199,1.17041198502e-06
1980,40,1603,1603,6,244,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,6,245,2,2,0.000623830318153,0.000623830318153,-3.89164265702e-07,0.999999999625,0.000624609375609,3.89650265508e-07
1980,40,1603,1603,8,15,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,20,2,3,0.00249532127261,0.000623830318153,NaN,NaN,0.00500937695679,1.56250061035e-06
1980,40,1603,1603,8,22,2,2,0.00249532127261,0.00124766063631,-3.11331412683e-06,1.00000000002,0.00500937695679,3.1250012207e-06
1980,40,1603,1603,8,26,2,2,0.00249532127261,0.00374298190892,-9.33994238039e-06,1.00000000001,0.0150657717742,9.39848519915e-06
1980,40,1603,1603,8,33,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,35,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,46,2,3,0.00249532127261,0.000623830318153,NaN,NaN,0.00500937695679,1.56250061035e-06
1980,40,1603,1603,8,48,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,49,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,55,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,60,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,64,2,2,0.00249532127261,0.00249532127261,-6.22662825356e-06,1.0,0.010031285188,6.25781983033e-06
1980,40,1603,1603,8,73,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,77,2,2,0.00249532127261,0.00374298190892,-9.33994238039e-06,1.00000000001,0.0150657717742,9.39848519915e-06
1980,40,1603,1603,8,94,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,97,2,3,0.00249532127261,0.000623830318153,NaN,NaN,0.00500937695679,1.56250061035e-06
1980,40,1603,1603,8,101,2,2,0.00249532127261,0.00124766063631,-3.11331412683e-06,1.00000000002,0.00500937695679,3.1250012207e-06
1980,40,1603,1603,8,105,2,2,0.00249532127261,0.292576419214,-0.000106241844576,0.14552238806,0.0351208051882,2.19094230743e-05
1980,40,1603,1603,8,115,2,3,0.00249532127261,0.000623830318153,NaN,NaN,0.00500937695679,1.56250061035e-06
1980,40,1603,1603,8,123,2,3,0.00249532127261,0.000623830318153,NaN,NaN,0.010031285188,3.12890991516e-06
1980,40,1603,1603,8,124,2,2,0.00249532127261,0.00187149095446,-4.6699711902e-06,1.00000000001,0.00751876172608,4.6904315197e-06
1980,40,1603,1603,8,130,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,131,2,2,0.00249532127261,0.00124766063631,-3.11331412683e-06,1.00000000002,0.00500937695679,3.1250012207e-06
1980,40,1603,1603,8,140,2,3,0.00249532127261,0.00124766063631,NaN,NaN,0.0226411896394,7.06213026805e-06
1980,40,1603,1603,8,146,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,149,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,157,2,2,0.00249532127261,0.00124766063631,-3.11331412683e-06,1.00000000002,0.00500937695679,3.1250012207e-06
1980,40,1603,1603,8,159,2,2,0.00249532127261,0.00374298190892,-9.33994238039e-06,1.00000000001,0.0150657717742,9.39848519915e-06
1980,40,1603,1603,8,164,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,167,2,2,0.00249532127261,0.00311915159077,-7.78328531681e-06,0.999999999982,0.012546953235,7.82716982845e-06
1980,40,1603,1603,8,177,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1602,8,186,2,2,0.00249687890137,0.000624219725343,-1.55860106199e-06,0.999999999974,0.00250469238953,1.56347839546e-06
1980,40,1603,1603,8,188,2,2,0.00249532127261,0.00623830318153,-1.5566570634e-05,1.0,0.0251726695161,1.5703474433e-05
1980,40,1603,1603,8,192,2,3,0.00249532127261,0.000623830318153,NaN,NaN,0.00500937695679,1.56250061035e-06
1980,40,1603,1603,8,198,2,2,0.00249532127261,0.00311915159077,-7.78328531681e-06,0.999999999982,0.012546953235,7.82716982845e-06
1980,40,1603,1603,8,200,2,2,0.00249532127261,0.00124766063631,-3.11331412683e-06,1.00000000002,0.00500937695679,3.1250012207e-06
1980,40,1603,1603,8,207,2,2,0.00249532127261,0.008109794136,-2.0236541824e-05,0.999999999998,0.0327862146546,2.0453034719e-05
1980,40,1603,1603,8,208,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,211,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,215,2,2,0.00249532127261,0.00124766063631,-3.11331412683e-06,1.00000000002,0.00500937695679,3.1250012207e-06
1980,40,1603,1603,8,218,2,3,0.00249532127261,0.00124766063631,NaN,NaN,0.0201128840321,6.27351342238e-06
1980,40,1603,1603,8,220,2,2,0.00249532127261,0.00124766063631,-3.11331412683e-06,1.00000000002,0.00500937695679,3.1250012207e-06
1980,40,1603,1603,8,221,2,3,0.00249532127261,0.000623830318153,NaN,NaN,0.00500937695679,1.56250061035e-06
1980,40,1603,1603,8,222,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,226,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,227,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,232,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,233,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,240,2,2,0.00249532127261,0.00187149095446,-4.6699711902e-06,1.00000000001,0.00751876172608,4.6904315197e-06
1980,40,1603,1603,8,244,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,8,245,2,2,0.00249532127261,0.000623830318153,-1.55665706336e-06,0.999999999982,0.00250312500244,1.56152526665e-06
1980,40,1603,1603,9,15,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,20,4,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0698095001147,7.25821377778e-06
1980,40,1603,1603,9,22,4,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0698095001147,1.45164275556e-05
1980,40,1603,1603,9,26,4,2,0.000623830318153,0.00374298190892,NaN,NaN,0.209953055135,4.36583603941e-05
1980,40,1603,1603,9,33,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,35,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,46,4,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0698095001147,7.25821377778e-06
1980,40,1603,1603,9,48,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,49,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,55,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,60,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,64,4,2,0.000623830318153,0.00249532127261,NaN,NaN,0.139793633125,2.90691688761e-05
1980,40,1603,1603,9,73,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,77,4,2,0.000623830318153,0.00374298190892,NaN,NaN,0.209953055135,4.36583603941e-05
1980,40,1603,1603,9,94,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,97,4,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0698095001147,7.25821377778e-06
1980,40,1603,1603,9,101,4,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0698095001147,1.45164275556e-05
1980,40,1603,1603,9,105,4,2,0.000623830318153,0.292576419214,NaN,NaN,18.5794136807,0.00386346718252
1980,40,1603,1603,9,115,4,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0698095001147,7.25821377778e-06
1980,40,1603,1603,9,123,4,3,0.000623830318153,0.000623830318153,NaN,NaN,1603.10290365,0.166677365736
1980,40,1603,1603,9,124,4,2,0.000623830318153,0.00187149095446,NaN,NaN,0.104779696578,2.17882504842e-05
1980,40,1603,1603,9,130,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,131,4,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0698095001147,1.45164275556e-05
1980,40,1603,1603,9,140,4,3,0.000623830318153,0.00124766063631,NaN,NaN,0.315522298354,3.28053959611e-05
1980,40,1603,1603,9,146,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,149,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,157,4,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0698095001147,1.45164275556e-05
1980,40,1603,1603,9,159,4,2,0.000623830318153,0.00374298190892,NaN,NaN,0.209953055135,4.36583603941e-05
1980,40,1603,1603,9,164,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,167,4,2,0.000623830318153,0.00311915159077,NaN,NaN,23.1062506312,0.00480479322754
1980,40,1603,1603,9,177,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1602,9,186,4,2,0.000624219725343,0.000624219725343,NaN,NaN,0.0349055096379,7.26290254637e-06
1980,40,1603,1603,9,188,4,2,0.000623830318153,0.00623830318153,NaN,NaN,0.350800407042,7.29466431778e-05
1980,40,1603,1603,9,192,4,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0698095001147,7.25821377778e-06
1980,40,1603,1603,9,198,4,2,0.000623830318153,0.00311915159077,NaN,NaN,4.8696020122,0.00101260179085
1980,40,1603,1603,9,200,4,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0698095001147,1.45164275556e-05
1980,40,1603,1603,9,207,4,2,0.000623830318153,0.008109794136,NaN,NaN,0.456900982984,9.50095618598e-05
1980,40,1603,1603,9,208,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,211,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,215,4,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0698095001147,1.45164275556e-05
1980,40,1603,1603,9,218,4,3,0.000623830318153,0.00124766063631,NaN,NaN,0.280288425539,2.91420696131e-05
1980,40,1603,1603,9,220,4,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0698095001147,1.45164275556e-05
1980,40,1603,1603,9,221,4,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0698095001147,7.25821377778e-06
1980,40,1603,1603,9,222,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,226,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,227,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,232,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,233,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,240,4,2,0.000623830318153,0.00187149095446,NaN,NaN,0.104779696578,2.17882504842e-05
1980,40,1603,1603,9,244,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,9,245,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.0348829618239,7.25368305757e-06
1980,40,1603,1603,10,15,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,20,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0125706116665,1.96048216883e-06
1980,40,1603,1603,10,22,3,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0125706116665,3.92096433765e-06
1980,40,1603,1603,10,26,3,2,0.000623830318153,0.00374298190892,NaN,NaN,0.0378062916933,1.17923554876e-05
1980,40,1603,1603,10,33,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,35,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,46,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0125706116665,1.96048216883e-06
1980,40,1603,1603,10,48,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,49,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,55,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,60,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,64,3,2,0.000623830318153,0.00249532127261,NaN,NaN,0.0251726695161,7.85173721649e-06
1980,40,1603,1603,10,73,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,77,3,2,0.000623830318153,0.00374298190892,NaN,NaN,0.0378062916933,1.17923554876e-05
1980,40,1603,1603,10,94,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,97,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0125706116665,1.96048216883e-06
1980,40,1603,1603,10,101,3,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0125706116665,3.92096433765e-06
1980,40,1603,1603,10,105,3,2,0.000623830318153,0.292576419214,NaN,NaN,4.16176481985,0.00129811753582
1980,40,1603,1603,10,115,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0125706116665,1.96048216883e-06
1980,40,1603,1603,10,123,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0251726695161,3.92586860824e-06
1980,40,1603,1603,10,124,3,2,0.000623830318153,0.00187149095446,NaN,NaN,0.0188677024482,5.88512241055e-06
1980,40,1603,1603,10,130,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,131,3,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0125706116665,3.92096433765e-06
1980,40,1603,1603,10,140,3,3,0.000623830318153,0.00124766063631,NaN,NaN,0.0568161679745,8.86091203595e-06
1980,40,1603,1603,10,146,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,149,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,157,3,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0125706116665,3.92096433765e-06
1980,40,1603,1603,10,159,3,2,0.000623830318153,0.00374298190892,NaN,NaN,0.0378062916933,1.17923554876e-05
1980,40,1603,1603,10,164,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,167,3,2,0.000623830318153,0.00311915159077,NaN,NaN,0.0314855276566,9.82081336762e-06
1980,40,1603,1603,10,177,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1602,10,186,3,2,0.000624219725343,0.000624219725343,NaN,NaN,0.00628533046243,1.96171362748e-06
1980,40,1603,1603,10,188,3,2,0.000623830318153,0.00623830318153,NaN,NaN,0.0631687045766,1.97032765367e-05
1980,40,1603,1603,10,192,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0125706116665,1.96048216883e-06
1980,40,1603,1603,10,198,3,2,0.000623830318153,0.00311915159077,NaN,NaN,0.0314855276566,9.82081336762e-06
1980,40,1603,1603,10,200,3,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0125706116665,3.92096433765e-06
1980,40,1603,1603,10,207,3,2,0.000623830318153,0.008109794136,NaN,NaN,0.0822742580551,2.56625882892e-05
1980,40,1603,1603,10,208,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,211,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,215,3,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0125706116665,3.92096433765e-06
1980,40,1603,1603,10,218,3,3,0.000623830318153,0.00124766063631,NaN,NaN,0.0504715969357,7.87142809352e-06
1980,40,1603,1603,10,220,3,2,0.000623830318153,0.00124766063631,NaN,NaN,0.0125706116665,3.92096433765e-06
1980,40,1603,1603,10,221,3,3,0.000623830318153,0.000623830318153,NaN,NaN,0.0125706116665,1.96048216883e-06
1980,40,1603,1603,10,222,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,226,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,227,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,232,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,233,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,240,3,2,0.000623830318153,0.00187149095446,NaN,NaN,0.0188677024482,5.88512241055e-06
1980,40,1603,1603,10,244,3,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00628138242138,1.95925839719e-06
1980,40,1603,1603,10,245,3,2,0.000623830318153,0.000623830318153,NaN,NaN,177.22166736,0.0552781245665
1980,40,1603,1603,11,15,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00375938967962,7.81740419967e-07
1980,40,1603,1603,11,20,4,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00752347566115,7.82228702552e-07
1980,40,1603,1603,11,22,4,2,0.000623830318153,0.00124766063631,NaN,NaN,0.00752347566115,1.5644574051e-06
1980,40,1603,1603,11,26,4,2,0.000623830318153,0.00374298190892,NaN,NaN,0.0226269590485,4.70512768736e-06
1980,40,1603,1603,11,33,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00375938967962,7.81740419967e-07
1980,40,1603,1603,11,35,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00375938967962,7.81740419967e-07
1980,40,1603,1603,11,46,4,3,0.000623830318153,0.000623830318153,NaN,NaN,0.00752347566115,7.82228702552e-07
1980,40,1603,1603,11,48,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00375938967962,7.81740419967e-07
1980,40,1603,1603,11,49,4,2,0.000623830318153,0.000623830318153,NaN,NaN,0.00375938967962,7.81740419967e-07
